JC08,https://circabc.europa.eu/sd/a/02b0a5e2-e328-44e3-90b1-4ee934d8ffc1/att42.pdf
s km/h A B C,
1 0.0 N N N,
2 0.0 N N N,
3 0.0 N N N,
4 0.0 N N N,
5 0.0 N N N,
6 0.0 N N N,
7 0.0 N N N,
8 0.0 N N N,
9 0.0 N N N,
10 0.0 N N N,
11 0.0 N N N,
12 0.0 N N N,
13 0.0 N N N,
14 0.0 N N N,
15 0.0 N N N,
16 0.0 N N N,
17 0.0 N N N,
18 0.0 N N N,
19 0.0 N N N,
20 0.0 N N N,
21 0.0 1 1 1,
22 0.0 1 1 1,
23 0.0 1 1 1,
24 0.0 1 1 1,
25 0.0 1 1 1,
26 0.0 1 1 1,
27 4.9 1 1 1,
28 9.8 1 1 1,
29 13.8 1 1 1,
30 16.6 1 2 1,
31 18.4 1 2 1,
32 20.1 2 2 1,
33 21.7 2 2 1,
34 22.7 2 2 2,
35 23.5 2 2 2,
36 24.7 2 2 2,
37 26.1 2 2 2,
38 27.6 2 2 2,
39 29.9 2 3 2,
40 32.8 2 3 2,
41 37.1 3 3 2,
42 37.8 3 3 3,
43 36.6 3 3 3,
44 36.5 3 3 3,
45 37.7 3 3 3,
46 38.9 3 3 3,
47 39.2 3 3 3,
48 37.3 3 3 3,
49 34.1 3 3 3,
50 32.8 3 3 3,
51 32.4 3 3 3,
52 31.7 3 3 3,
53 30.4 3 3 3,
54 29.1 3 3 3,
55 28.6 3 3 3,
56 28.6 3 3 3,
57 28.6 3 3 3,
58 28.7 3 3 3,
59 29.1 3 3 3,
60 29.8 3 3 3,
61 30.9 3 3 3,
62 32.5 3 3 3,
63 35.1 3 3 3,
64 37.5 3 3 3,
65 38.9 3 3 3,
66 39.0 3 3 3,
67 37.7 3 3 3,
68 35.1 3 3 3,
69 32.9 3 3 3,
70 32.1 3 3 3,
71 31.0 3 3 3,
72 27.4 3 3 3,
73 23.7 3 3 N,
74 20.2 3 3 N,
75 17.5 N 3 N,
76 15.9 N N N,
77 14.5 N N N,
78 12.7 N N N,
79 10.9 N N N,
80 9.5 N N N,
81 8.1 N N N,
82 6.9 N N N,
83 5.8 N N N,
84 4.5 N N N,
85 2.5 N N N,
86 0.0 N N N,
87 0.0 N N N,
88 0.0 1 1 1,
89 0.0 1 1 1,
90 0.0 1 1 1,
